Name,Condition,RecP,Total Count,Recommendations,Acrive Ingredients,Uses,
Bonine,Children's Motion Sickness Products,25%,548116,137029,"In each tablet
Cyclizine HCl 25 mg; antiemetic",,
ACT Kids Anticavity,Children's Mouthwashes,47%,329897,155051.59,Sodium fluoride 0.05% (0.02% w/v fluoride ion), Anticavity,['aids in the prevention of dental cavities']
Triple Paste,Diaper Rash Products,7 %,743345,52034.15,Zinc oxide 12.8%, skin protectant,"['Helps treat and present diaper rash', 'Protects chafed skin due to diaper rash and helps protect from wetness']"
Aquaphor Baby,Diaper Rash Products,4 %,743345,29733.8,Petrolatum (41%), Skin protectant (ointment),"['Soothes, protects and helps heal dry, irritated skin due to drooling, minor burns and abrasions', 'Relief for the dry skin associated with Eczema']"
A+D Diaper Rash Ointment,Diaper Rash Products,28%,743345,208136.6,"Lanolin 15.5%; Diaper rash ointment
Petrolatum 53.4%; Skin protectant","['helps treat and prevent diaper rash', 'temporarily protects minor:\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns', 'cuts', 'scrapes', 'burns', 'temporarily protects and helps relieve chapped, chafed or cracked skin and lips', 'protects chafed skin due to diaper rash and helps seal out wetness']",
Destin Diaper Rash,Diaper Rash Products,30%,743345,223003.5,Zinc Oxide 13%, skin protectant,"['helps treat and prevent diaper rash', 'protects chafed skin due to diaper rash and helps seal out wetness']"
Boudreaux's Butt Paste,Diaper Rash Products,12%,743345,89201.4,"Zinc Oxide, 16%; Skin Protectant","['Helps treat and prevent diaper rash\xc2\xa0', 'Protects chafed skin due to diaper rash and helps seal out wetness']",
Hyland's Baby Diaper Ointment,Diaper Rash Products,1 %,743345,7433.45,"Calendula Officinalis 1X: soothes rash, skin irritation",,
Calmoseptine,Diaper Rash Products,6 %,743345,44600.7,"Menthol 0.44%; External analgesic / Anti-itch
Zinc Oxide 20.6%; Skin protectant / Anorectal astringent",,
Encare Vaginal Contraceptive Inserts,Female Contraceptives,22%,226027,49725.94,"In each insert:
Nonoxynol-9 100 mg",,
Next Choice One Dose,Emergency Contraception,16%,368557,58969.12,"In each tablet:
Levonorgestrel 1.5 mg; Emergency contraceptive",,
Plan B One-Step,Emergency Contraception,59%,368557,217448.63,"In each tablet:
Levonorgestrel 1.5mg",,
AZO Yeast,Yeast Infection Prevention and Relief,10%,750000,75000,"In each tablet:

Eupatorium perfoliatum 5X

Viscum album 5X",,
Cystex,Urinary Pain Relief,6 %,1067000,64020,"In each tablet
Methenamine 162 mg; Antibacterial
Sodium Salicylate 162.5 mg (NSAID)*; Analgesic (pain reliever)

*nonsteroidal anti-inflammatory drug","['painful urination', 'burning urination']",
Uristat,Urinary Pain Relief,7 %,1067000,74690,"In each tablet:
Phenazopyridine hydrochloride 95mg; Urinary analgesic",,
Oxytrol for Women,Overactive Bladder Treatment,27%,344692,93066.84,"In each patch:
Oxybutynin 3.9 mg/day; Overactive bladder treatment","['treats overactive bladder in women', 'you may be suffering from overactive bladder if you have had 2 or more of the following symptoms for at least 3 months\r\n\t\t\n\r\n\t\t\t\turinary frequency (the need to urinate more often than usual; typically more than 8 times in 24 hours)\n\r\n\t\t\t\turinary urgency (a strong need to urinate right away)\n\r\n\t\t\t\turinary incontinence (leaking or wetting yourself if you cannot control the urge to urinate)', 'urinary frequency (the need to urinate more often than usual; typically more than 8 times in 24 hours)', 'urinary urgency (a strong need to urinate right away)', 'urinary incontinence (leaking or wetting yourself if you cannot control the urge to urinate)', 'non-drug therapies may also help you (see the consumer information leaflet inside the package)']",
Summer's Eve,Vaginal Care and Hygiene,29%,821649,238278.21,"In each bottle, when mixed:
ovidone-Iodine 0.3%; Antimicrobial",,
Monistat Complete Care,Vaginal Care and Hygiene,30%,821649,246494.7,Hydrocortisone 1%,"['temporarily relieves external genital itching', 'other uses of this product should only be under the advice and supervision of a doctor']",
Clear Care Cleaning & Disinfecting Solution,Contact Lens Solutions,7 %,608615,42603.05,3% HYDROGEN PEROXIDE,,
Biotrue,Contact Lens Solutions,14%,608615,85206.1,"A sterile, isotonic solution that contains hyaluronan, sulfobetaine, poloxamine, boric acid, sodium borate, edetate disodium and sodium chloride and preserved with a dual disinfection system (polyaminopropyl biguanide) 0.00013% and polyquaternium 0.0001%",,
Opti-Free,Contact Lens Solutions,50%,608615,304307.5,,,
Renu multi-purpose solution,Contact Lens Solutions,14%,608615,85206.1,"A sterile, isotonic solution that contains HYDRANATE® (hydroxyalkylphosphonate), boric acid, edetate disodium, poloxamine, sodium borate and sodium chloride; preserved with DYMED® (polyaminopropyl biguanide) 0.0001%.",,
Complete Multi-Purpose Solution Easy Rub Formula,Contact Lens Solutions,5 %,608615,30430.75,,"['Chemically (NOT HEAT) Disinfect', 'Clean', 'Rinse', 'Store', 'Remove Protein']",
Advanced Eye Relief,Artificial Tears/Ophthalmic Lubricants,1 %,1019283,10192.83,"Glycerin (0.3%); Lubricant
Propylene glycol (1.0%); Lubricant","['temporary relief of burning and irritation due to dryness of the eye', 'prevents further irritation']",
Systane,Artificial Tears/Ophthalmic Lubricants,36%,1019283,366941.88,"Polyethylene Glycol 400 0.4%; Lubricant
Propylene Glycol 0.3%; Lubricant",,
Hypo Tears,Artificial Tears/Ophthalmic Lubricants,3 %,1019283,30578.49,"Polyvinyl alcohol (1%); lubricant
Polyethylene glycol 400 (1%); lubricant","['For use as a lubricant to relieve dryness of the eye.\xc2\xa0', 'Temporarily relieves burning and irritation due to dryness of the eye or from exposure to wind or sun.', 'Helps protect against further eye irritation.']",
Naphcon-A,Ophthalmic Antihistamines/Decongestants,20%,892347,178469.4,"Naphazoline Hydrochloride 0.025%; Redness reliever
Pheniramine Maleate 0.3%; Antihistamine","['ragweed\xc2\xa0', 'pollen', 'grass', 'animal dander and hair']",
Zaditor,Ophthalmic Antihistamines/Decongestants,49%,892347,437250.03,Ketotifen (0.025%) (equivalent to ketotifen fumarate 0.035%), Relieves itchy eyes,
Alaway,Ophthalmic Antihistamines/Decongestants,6 %,892347,53540.82,Ketotifen 0.025% (equivalent to ketotifen fumerate 0.035%) ,,
Opcon-A,Ophthalmic Antihistamines/Decongestants,8 %,892347,71387.76,"Naphazoline HCl (0.02675%); Redness reliever
Pheniramine maleate (0.315%); Antihistamine",,
Murine,Ear Wax Removal,5 %,735953,36797.65,"Carbamide peroxide 6.5%; earwax removal aid

	 ",,
NeilMed ClearCanal,Ear Wax Removal,2 %,735953,14719.06, Carbamide peroxide 6.5%,,
Debrox,Ear Wax Removal,86%,735953,632919.58,"Carbamide peroxide 6.5% non USP* ; Earwax removal aid
	*pH differs from USP specifications",,
Auro Earwax Removal Aid,Ear Wax Removal,3 %,735953,22078.59,Carbamide peroxide 6.5% in anhydrous glycerin, Earwax removal aid,
Similasan Ear Wax Relief,Ear Wax Removal,2 %,735953,14719.06,"Causticum 12X; itching, wax build-up

		Graphites 15X; dryness, wax build-up

		Lachesis 12X; dryness, wax build-up

		Lycopodium 12X; wax build-up","['clogged sensation when caused by ear wax', 'ringing in the ear when caused by ear wax', 'dry skin and itching of the ear canal']",
Similasan Ear Relief,Ear Pain Relief,59%,361644,213369.96,"Chamomilla 10X: sensitivity to drafts, soothing
Mercurius solubilis 15X: fullness, sensitivity to cold
Sulphur 12X: itchiness, sensitivity to water",,
Biotrue,Contact Lens Saline Solutions,12%,525258,63030.96,"A sterile, isotonic solution that contains hyaluronan, sulfobetaine, poloxamine, boric acid, sodium borate, edetate disodium and sodium chloride and preserved with a dual disinfection system (polyaminopropyl biguanide) 0.00013% and polyquaternium 0.0001%",,
OPTI-FREE PureMoist ,Contact Lens Saline Solutions,48%,525258,252123.84,,,
Sensitive Eyes Plus Saline Solution,Contact Lens Saline Solutions,23%,525258,120809.34,,,
Simply Saline Sterile Saline Solution for Contacts,Contact Lens Saline Solutions,17%,525258,89293.86,,,
Ricola,Sore Throat Lozenges,11%,1376289,151391.79,"In each drop:
	Menthol, 4.8 mg; Cough supressant/Oral pain reliever","['cough due to a cold or inhaled irritants', 'occasional minor irritation and pain due to sore throat or sore mouth']",
Solarcaine,Sun Burn Relief,63%,473390,298235.7,Lidocaine hydrochloride 0.5%, External analgesic,"['minor skin irritations', 'minor burns', 'sunburn', 'scrapes', 'minor cuts', 'insect bites']"
Polysporin,Topical Antibiotics/Antiseptics,12%,1314041,157684.92,"Bacitracin 500 units; First aid antibiotic
Polymyxin B 10,000 units; First aid antibiotic","['cuts', 'scrapes', 'burns']",
Hibiclens,Topical Antibiotics/Antiseptics,6 %,1314041,78842.46,Chlorhexidine gluconate solution 4.0% w/v, Antiseptic,"['antimicrobial skin cleanser helps reduce bacteria that potentially can cause disease', 'for skin wound and general skin cleansing', 'surgical hand scrub', 'personnel hand wash', 'preoperative skin preparation']"
Polysporin,Burn Treatments,4 %,770619,30824.76,"Bacitracin 500 units; First aid antibiotic
Polymyxin B 10,000 units; First aid antibiotic","['cuts', 'scrapes', 'burns']",
Nicorette,Smoking Cessation Aids,27%,604040,163090.8,"Per lozenge:
Nicotine polacrilex, 2mg; Stop smoking aid
OR
Nicotine polacrilex, 4mg; Stop smoking aid",,
NicoDerm CQ Patch,Smoking Cessation Aids,69%,604040,416787.6,"In each STEP-1 patch  (clear):
Nicotine, 21 mg delivered over 24 hours; Stop smoking aid

In each STEP-1 patch (opaque):
Nicotine, 21 mg delivered over 24 hours; Stop smoking aid

In each STEP-2 patch (clear):
Nicotine, 14 mg delivered over 24 hours; Stop smoking aid

In each STEP-3 patch (clear):
Nicotine, 7 mg delivered over 24 hours; Stop smoking aid","['reduces withdrawal symptoms, including nicotine craving, associated with quitting smoking']",
Hyland's Leg Cramps,Leg Cramp Relief,46%,454110,208890.6,"Cinchona Officinalis 3X HPUS: pains in limbs & joints
Aconitum Napellus 6X HPUS: pains in joints, legs
Gnaphalium Polycephalum 3X HPUS: cramps in calves & feet
Ledum Palustre 6X HPUS: pain and cramps in legs
Magnesia Phosphorica 6X HPUS: cramps in calves
Rhus Toxicodendron 6X HPUS: pain and stiffness
Viscum Album 3X HPUS: pains in joints",,
Hyland's Restful Legs,Leg Cramp Relief,12%,454110,54493.2,"Arsenicum Album 12X HPUS: creeping, crawling itch
Lycopodium 6X HPUS: restless legs while lying down
Pulsatilla 6X HPUS: constant urge to move legs
Rhus Toxicodendron 6X HPUS: restless legs, better with activity
Sulphur 6X HPUS: itching, tingling, and urge to move legs
Zincum Metallicum 12X HPUS: twitching and jerking of legs while sitting",,
MagniLife Leg Cramps Relief,Leg Cramp Relief,11%,454110,49952.1,"Causticum 12X, 30X HPUS; Relieves cramps in the feet and toes
Colocynthis 12X, 30X HPUS; Relieves cramps and twitching
Cuprum metallicum 12X, 30X HPUS; Relieves cramps in the fingers and toes
Magnesia phosphorica 12X, 30X HPUS; Anti-spasmodic remedy; relieves pains that are worse at night
Phytolacca decandra 12X, 30X HPUS; Affects fibrous tissues and muscle sheaths
Rhus toxicodendron 12X, 30X HPUS; Relieves cramps in the calves
Stannum metallicum 12X, 30X HPUS; Relieves cramps in the fingers
Veratrum album 12X, 30X HPUS; Relieves cramps in extremities",,
Nytol,Sleep Aids,4 %,957216,38288.64,Diphenhydramine HCl 25 mg,,
MidNite,Sleep Aids,1 %,957216,9572.16,"In each tablet


		Melatonin 1.5mg

		Proprietary blend 22mcg
		

				Lemon balm

				Chamomile

				Lavender",,
Simply Sleep,Sleep Aids,4 %,957216,38288.64,Diphenhydramine HCl 25 mg,,
Calms Forte,Sleep Aids,2 %,957216,19144.32,"Avena Sativa HPUS 1X Double Strength; stress, nervousness

		Chamomilla HPUS 2X; nervous irritability

		Humulus Lupulus HPUS 1X Double Strength; occasional sleeplessness

		Passiflora HPUS 1X Triple Strength; restless sleep from exhaustion

		Biochemic Phosphates; enhances cellular function",,
Tagamet HB,H2 Receptor Antagonists,1 %,1170819,11708.19,"In each tablet
Cimetidine 200 mg; acid reducer","['relieves\xc2\xa0heartburn associated with acid indigestion and sour stomach', 'prevents\xc2\xa0heartburn associated with acid indigestion and sour stomach brought on by eating or drinking certain food and beverages']",
Zantac,H2 Receptor Antagonists,55%,1170819,643950.45,"In each tablet:
Ranitidine 150 mg (as ranitidine hydrochloride 168 mg); acid reducer","['relieves heartburn associated with acid indigestion and sour stomach', 'prevents heartburn associated with acid indigestion and sour stomach brought on by certain foods and beverages']",
Beano,Antiflatulence Products,7 %,928669,65006.83,"Per 2 tablets:

Alpha-galactosidase enzyme 300 GALU† (derived from Aspergillus niger)*

*Daily Value not established","['Use for the right problem:\xc2\xa0Use Beano\xc2\xae\xc2\xa0if you experience the symptoms of stomach gas caused by many healthful foods.', 'Use with the right food:\xc2\xa0Beano\xc2\xae\xc2\xa0Tablets prevent\xc2\xa0symptoms caused by a variety of foods including:\r\n\t\t\n\r\n\t\t\t\tVeggies like broccoli, lettuce, peppers\xc2\xa0and carrots\n\r\n\t\t\t\tProteins like beans and peanuts\n\r\n\t\t\t\tWhole grains like whole wheat and oat bran\n\n\r\n\t\t\tGluten-free', 'Veggies like broccoli, lettuce, peppers\xc2\xa0and carrots', 'Proteins like beans and peanuts', 'Whole grains like whole wheat and oat bran']",
DulcoGas,Antiflatulence Products,1 %,928669,9286.69,,,
Phazyme,Antiflatulence Products,8 %,928669,74293.52,"Active Ingredient (in each softgel)

	Simethicone 250mg",,
Mylanta ,Antiflatulence Products,4 %,928669,37146.76,"Active ingredient (in each tablet)
	Simethicone 125 mg; antigas","['relieves bloating, pressure, and discomfort of gas which can be caused by certain foods (such as beans, bran, and broccoli) or air swallowing']",
Colace 2-IN-1 (formerly Peri-Colace),"Laxatives, Stimulant",15%,1002577,150386.55,"Docusate sodium 50 mg; Stool softener
	Sennosides 8.6 mg; Stimulant laxative","['relieves occasional constipation (irregularity)', 'generally produces bowel movement in 6 to 12 hours']",
MiraLAX,"Laxatives, Nonfiber",60%,1111017,666610.2,"In each dose (per bottle)
	Polyethylene Glycol 3350, 17 g (cap filled to line)","['relieves occasional constipation (irregularity)', 'generally produces a bowel movement in 1 to 3 days']",
Mylanta,Antacids,21%,1211616,254439.36,"Active ingredient (in each tablet)
	Simethicone 125 mg; antigas","['relieves bloating, pressure, and discomfort of gas which can be caused by certain foods (such as beans, bran, and broccoli) or air swallowing']",
Zegerid OTC,Proton Pump Inhibitors,2 %,1215203,24304.06,"In each capsule
Omeprazole 20 mg; Acid reducer
Sodium Bicarbonate 1100 mg; Allows absorption of this omeprazole product

	 ","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn, this drug may take 1 to 4 days for full effect.']",
Nexium 24HR,Proton Pump Inhibitors,28%,1215203,340256.84,"In each capsule:
Esomeprazole 20 mg (Each delayed-release capsule corresponds to 22.3 mg esomeprazole magnesium trihydrate); Acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Prevacid 24HR,Proton Pump Inhibitors,6 %,1215203,72912.18,"In each capsule:
Lansoprazole 15mg; Acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Prilosec OTC,Proton Pump Inhibitors,64%,1215203,777729.92,"Active ingredient (in each tablet)
Omeprazole magnesium delayed-release tablet 20.6 mg (equivalent to 20 mg omeprazole); acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
DulcoEase,Stool Softeners,1 %,1444845,14448.45,"In each softgel
Docusate sodium 100mg; stool softener/laxative","['for temporary relief of occasional constipation and irregularity', 'this product generally produces bowel movement in 12 to 72 hours']",
Phillips' Stool Softener,Stool Softeners,14%,1444845,202278.3,"In each softgel
Docusate sodium 100 mg; stool softener","['for relief of occasional constipation (irregularity)', 'this product generally produces a bowel movement in 12 to 72 hours']",
Zegerid OTC,Acid Reducers,1 %,1354110,13541.1,"In each capsule
Omeprazole 20 mg; Acid reducer
Sodium Bicarbonate 1100 mg; Allows absorption of this omeprazole product

	 ","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn, this drug may take 1 to 4 days for full effect.']",
Zantac,Acid Reducers,26%,1354110,352068.6,"In each tablet:
Ranitidine 150 mg (as ranitidine hydrochloride 168 mg); acid reducer","['relieves heartburn associated with acid indigestion and sour stomach', 'prevents heartburn associated with acid indigestion and sour stomach brought on by certain foods and beverages']",
Nexium 24HR,Acid Reducers,14%,1354110,189575.4,"In each capsule:
Esomeprazole 20 mg (Each delayed-release capsule corresponds to 22.3 mg esomeprazole magnesium trihydrate); Acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Prevacid 24HR,Acid Reducers,1 %,1354110,13541.1,"In each capsule:
Lansoprazole 15mg; Acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Prilosec OTC,Acid Reducers,40%,1354110,541644,"Active ingredient (in each tablet)
Omeprazole magnesium delayed-release tablet 20.6 mg (equivalent to 20 mg omeprazole); acid reducer","['treats frequent heartburn (occurs 2 or more days a week)', 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect']",
Emetrol,Upset Stomach Remedies,21%,821649,172546.29,"Each 5 mL contains*:
1.87 g Dextrose (glucose); Upset stomach reliever
1.87 g Levulose (fructose); Upset stomach reliever
21.5 mg Phosphoric acid; Upset stomach reliever

Phosphorated carbohydrate solution*",,
Imodium Anti-Diarrheal,Imodium,91%,1116443,1015963.13,"In each caplet:
Loperamide HCl 2 mg; Anti-diarrheal",,
Metamucil,"Laxatives, Bulk/Fiber",55%,822241,452232.55,"In each teaspoon:
	Psyllium husk approximately 3.3 g",,
Benzodent,"Oral Pain Relievers, Adult",3 %,790134,23704.02,Benzocaine 20%,,
Excedrin Migraine,Migraine Headache Products,74%,1045377,773578.98,"In each caplet:
Acetaminophen 250 mg; Pain reliever
Aspirin 250 mg (NSAID) *; Pain reliever
Caffeine 65 mg; Pain reliever aid

* nonsteroidal anti-inflammatory drug",,
Advil Migraine,Migraine Headache Products,10%,1045377,104537.7,"Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)*; analgesic

	(present as the free acid and potassium salt)

	*nonsteroidal anti-inflammatory drug",,
Tylenol Arthritis Pain,Oral Arthritis Pain Relievers,30%,1175939,352781.7,Acetaminophen 650 mg, pain reliever/fever reducer,"['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tarthritis\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps', 'arthritis', 'the common cold', 'headache', 'toothache', 'muscular aches', 'backache', 'menstrual cramps', 'temporarily reduces fever']"
Halls Defense,Immune Support,4 %,757732,30309.28,"HALLS Defense® Vitamin C Supplement Drops:
Per drop:
Calories: 15
Sodium: 10 mg
Total Carbohydrate: 4 g
Sugars: 3 g
Vitamin C: 60 mg


	HALLS Defense® Harvest Cherry Supplement Drops:
	Per drop:
	Calories: 15
	Sodium: 10 mg
	Total Carbohydrate: 4 g
	Sugars: 3 g
	Vitamin C: 60 mg
	Zinc: 1.5 mg
	Standardized Echinacea Root Extract: 15 mg",,
Metamucil,Cholesterol Management,22%,844330,185752.6,"In each teaspoon:
	Psyllium husk approximately 3.3 g",,
alli,Diet Aids,39%,404639,157809.21,,,
Metamucil,Fiber Supplements,48%,751541,360739.68,"In each teaspoon:
	Psyllium husk approximately 3.3 g",,
Scot-Tussin,Diabetic Cough Products,4 %,1343345,53733.8,"In each 5ml:
Dextromethorphan HBr. USP 10mg; cough suppressant",['Temporarily quiets and calms a dry cough due to minor throat and bronchial irritation.'],
Robitussin,Diabetic Cough Products,29%,1343345,389570.05,"In each 10ml
Dextromethorphan HBr, USP 20 mg; cough suppressant
Guaifenesin, USP 200 mg; expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes']",
Flexitol Diabetic Foot Balm,Diabetic Foot Cream,2 %,544186,10883.72,Tolnaftate 1%, Antifungal,"[""Clinically proven to prevent Athlete's Foot (Tinea Pedis) and Ringworm (Tinea Corporis) with daily use"", ""For effective relief of symptoms of Athlete's Foot, including itching, burning, cracking, scaling and discomfort associated with this condition.""]"
Kerasal,Diabetic Foot Cream,6 %,544186,32651.16,"Capsaicin (0.075%); Topical Analgesic
Camphor (5.65%); Topical Analgesic",,
Neuragen,Diabetic Neuropathy Products,4 %,722542,28901.68,"Aconitum napellus 12C, Hypericum perforatum 12C, Lycopodium clavatum 12C, Phosphorus 12C, Rhus toxicodendron 12C, Secale cornutum 12C",,
Kank-A,Canker Sore Treatments,11%,552577,60783.47,Benzocaine 20.0% (w/w), Oral anesthetic/analgesic,
Gly-Oxide Oral Rinse,Canker Sore Treatments,12%,552577,66309.24,"Carbamide peroxide 10% non USP*; Oral debriding agent, Oral wound cleanser

	(*pH differs from USP specifications)","['canker sore', 'minor wounds or gum inflammation resulting from minor dental procedures, dentures, orthodontic appliances, accidental injury, or other irritations of the mouth and gums', 'aids in the removal of phlegm, mucus, or other secretions associated with occasional sore mouth']",
Herpecin L,Cold Sore Treatments,4 %,761074,30442.96,"Dimethicone 1%; Skin protectant
Meradimate 5%; Sunscreen
Octinoxate 7.5%; Sunscreen
Octisalate 5%; Sunscreen
Oxybenzone 6%; Sunscreen","['helps prevent sunburn on lips', 'relieves dry chapped lips', 'helps treat and relieve cold sores/fever blisters']",
Anbesol Cold Sore Therapy,Cold Sore Treatments,1 %,761074,7610.74,"Allantoin 1%
Benzocaine 20%
Camphor 3%
White petrolatum 64.9%","['temporarily relieves pain associated with fever blisters and cold sores', 'relieves dryness and softens fever blisters and cold sores']",
Zilactin,Cold Sore Treatments,1 %,761074,7610.74,"Benzyl alcohol 10%; Cold sore/fever blister treatment, Oral pain reliever","['cold sores/fever blisters\xc2\xa0', 'canker sores, mouth sores\xc2\xa0', 'gum irritations']",
Abreva,Cold Sore Treatments,81%,761074,616469.94,Docosanol 10%, Cold sore/fever blister treatment,"['treats cold sores/fever blisters on the face or lips', 'shortens healing time and duration of symptoms:\r\n\t\t\n\r\n\t\t\t\ttingling, pain, burning, and/or itching', 'tingling, pain, burning, and/or itching']"
Lip Clear Lysine +,Cold Sore Treatments,1 %,761074,7610.74,"Zinc Oxide (1.2%); Cold sore/fever blister treatment

	 ",,
Sensodyne,"Toothpaste, General Use",26%,570508,148332.08,"Potassium nitrate 5%**; Antihypersensitivity
Sodium fluoride 0.15% w/v fluoride ion; Anticavity","['builds increasing protection against painful sensitivity of the teeth to cold, heat , acids, sweets, or contact', 'aids in the prevention of dental cavities']",
Biotene,Dry Mouth Therapy,80%,542979,434383.2,Sodium monofluorophosphate (0.14% w/v fluoride ion), Anticavity,
Cepacol,Cosmetic Mouthwashes/Oral Rinses,6 %,518919,31135.14,Cetylpyridinium chloride 0.05%, Antigingivitis/Antiplaquet,"['gingivitis, an early form of gum disease']"
Listerine,Therapeutic Mouthwashes/Oral Rinses,34%,637119,216620.46,Sodium Monofluorophosphate 0.76% (0.13% w/v fluoride ion): Anticavity,,
Orajel Antiseptic Rinse,Therapeutic Mouthwashes/Oral Rinses,3 %,637119,19113.57,Hydrogen peroxide 1.5%: Oral debriding agent,"['minor dental procedures', 'accidental injury', 'orthodontic appliances', 'canker sores', 'dentures', 'other irritations of the mouth and gums']",
DenTek Toothache Kit,Toothache Products,3 %,791096,23732.88,Benzocaine 20%, Oral Pain Reliever,"['toothaches', 'canker sores', 'cold sores', 'sore gums']"
Orajel,Toothache Products,73%,791096,577500.08,Benzocaine 20%, Oral Pain Reliever,
Sensodyne,"Toothpaste, Sensitive Gums/Teeth",87%,660101,574287.87,"Potassium nitrate 5%**; Antihypersensitivity
Sodium fluoride 0.15% w/v fluoride ion; Anticavity","['builds increasing protection against painful sensitivity of the teeth to cold, heat , acids, sweets, or contact', 'aids in the prevention of dental cavities']",
Myoflex,Topical Analgesics,2 %,942347,18846.94,Trolamine salicylate 10%, topical analgesic,
Zim's Max-Freeze,Topical Analgesics,2 %,942347,18846.94,Natural Menthol 3.7%, Topical Analgesic,"['Sore Muscles & Muscle Sprains', 'Back, Shoulder, Neck Pain', 'Painful Ankle, Knee, Hip & Elbow Joints', 'Muscular Strains']"
DuoFilm,Wart Removers,14%,404899,56685.86,Salicylic acid 17% (w/w), wart remover,"['for removal of common and plantar warts', 'common warts can be easily recognized by the rough cauliflower-like appearance of the surface', 'plantar warts can be recognized by its location only on the bottom of the foot, its tenderness, and the interruption of the footprint pattern']"
Curad Mediplast,Wart Removers,7 %,404899,28342.93,"40% Salicylic Acid; Corn, Callus, and Wart Remover","['corns', 'calluses', 'common warts']",
Nizoral,Dandruff Shampoo,27%,573801,154926.27,Ketoconazole 1%, Anti-dandruff shampoo,
Head & Shoulders,Dandruff Shampoo,31%,573801,177878.31,Pyrithione Zinc 1%, Anti-drandruff,
