oxytrol for women,overactive bladder treatment,urinary urgency (a strong need to urinate right away)
oxytrol for women,overactive bladder treatment,urinary incontinence (leaking or wetting yourself if you cannot control the urge to urinate)'
oxytrol for women,overactive bladder treatment, 'urinary frequency (the need to urinate more often than usual; typically more than 8 times in 24 hours)'
oxytrol for women,overactive bladder treatment, 'urinary urgency (a strong need to urinate right away)'
oxytrol for women,overactive bladder treatment, 'urinary incontinence (leaking or wetting yourself if you cannot control the urge to urinate)'
oxytrol for women,overactive bladder treatment, 'non-drug therapies may also help you (see the consumer information leaflet inside the package)'
monistat complete care,vaginal care and hygiene,'temporarily relieves external genital itching'
monistat complete care,vaginal care and hygiene, 'other uses of this product should only be under the advice and supervision of a doctor'
complete multi-purpose solution easy rub formula,contact lens solutions,'chemically (not heat) disinfect'
complete multi-purpose solution easy rub formula,contact lens solutions, 'clean'
complete multi-purpose solution easy rub formula,contact lens solutions, 'rinse'
complete multi-purpose solution easy rub formula,contact lens solutions, 'store'
complete multi-purpose solution easy rub formula,contact lens solutions, 'remove protein'
advanced eye relief,artificial tears/ophthalmic lubricants,'temporary relief of burning and irritation due to dryness of the eye'
advanced eye relief,artificial tears/ophthalmic lubricants, 'prevents further irritation'
hypo tears,artificial tears/ophthalmic lubricants,'for use as a lubricant to relieve dryness of the eye.\xc2\xa0'
hypo tears,artificial tears/ophthalmic lubricants, 'temporarily relieves burning and irritation due to dryness of the eye or from exposure to wind or sun.'
hypo tears,artificial tears/ophthalmic lubricants, 'helps protect against further eye irritation.'
naphcon-a,ophthalmic antihistamines/decongestants,'ragweed\xc2\xa0'
naphcon-a,ophthalmic antihistamines/decongestants, 'pollen'
naphcon-a,ophthalmic antihistamines/decongestants, 'grass'
naphcon-a,ophthalmic antihistamines/decongestants, 'animal dander and hair'
zaditor,ophthalmic antihistamines/decongestants,relieves itchy eyes
auro earwax removal aid,ear wax removal,earwax removal aid
similasan ear wax relief,ear wax removal,'clogged sensation when caused by ear wax'
similasan ear wax relief,ear wax removal, 'ringing in the ear when caused by ear wax'
similasan ear wax relief,ear wax removal, 'dry skin and itching of the ear canal'
ricola,sore throat lozenges,'cough due to a cold or inhaled irritants'
ricola,sore throat lozenges, 'occasional minor irritation and pain due to sore throat or sore mouth'
solarcaine,sun burn relief,external analgesic
polysporin,topical antibiotics/antiseptics,'cuts'
polysporin,topical antibiotics/antiseptics, 'scrapes'
polysporin,topical antibiotics/antiseptics, 'burns'
hibiclens,topical antibiotics/antiseptics,antiseptic
polysporin,burn treatments,'cuts'
polysporin,burn treatments, 'scrapes'
polysporin,burn treatments, 'burns'
nicoderm cq patch,smoking cessation aids,'reduces withdrawal symptoms
nicoderm cq patch,smoking cessation aids, including nicotine craving
nicoderm cq patch,smoking cessation aids, associated with quitting smoking'
tagamet hb,h2 receptor antagonists,'relieves\xc2\xa0heartburn associated with acid indigestion and sour stomach'
tagamet hb,h2 receptor antagonists, 'prevents\xc2\xa0heartburn associated with acid indigestion and sour stomach brought on by eating or drinking certain food and beverages'
zantac,h2 receptor antagonists,'relieves heartburn associated with acid indigestion and sour stomach'
zantac,h2 receptor antagonists, 'prevents heartburn associated with acid indigestion and sour stomach brought on by certain foods and beverages'
beano,antiflatulence products,'use for the right problem:\xc2\xa0use beano\xc2\xae\xc2\xa0if you experience the symptoms of stomach gas caused by many healthful foods.'
beano,antiflatulence products, 'use with the right food:\xc2\xa0beano\xc2\xae\xc2\xa0tablets prevent\xc2\xa0symptoms caused by a variety of foods including:
beano,antiflatulence products,veggies like broccoli
beano,antiflatulence products, lettuce
beano,antiflatulence products, peppers\xc2\xa0and carrots
beano,antiflatulence products,proteins like beans and peanuts
beano,antiflatulence products,whole grains like whole wheat and oat bran
beano,antiflatulence products,gluten-free'
beano,antiflatulence products, 'veggies like broccoli
beano,antiflatulence products, lettuce
beano,antiflatulence products, peppers\xc2\xa0and carrots'
beano,antiflatulence products, 'proteins like beans and peanuts'
beano,antiflatulence products, 'whole grains like whole wheat and oat bran'
mylanta,antiflatulence products,'relieves bloating
mylanta,antiflatulence products, pressure
mylanta,antiflatulence products, and discomfort of gas which can be caused by certain foods (such as beans
mylanta,antiflatulence products, bran
mylanta,antiflatulence products, and broccoli) or air swallowing'
colace 2-in-1 (formerly peri-colace),"laxatives, stimulant",'relieves occasional constipation (irregularity)'
colace 2-in-1 (formerly peri-colace),"laxatives, stimulant", 'generally produces bowel movement in 6 to 12 hours'
miralax,"laxatives, nonfiber",'relieves occasional constipation (irregularity)'
miralax,"laxatives, nonfiber", 'generally produces a bowel movement in 1 to 3 days'
mylanta,antacids,'relieves bloating
mylanta,antacids, pressure
mylanta,antacids, and discomfort of gas which can be caused by certain foods (such as beans
mylanta,antacids, bran
mylanta,antacids, and broccoli) or air swallowing'
zegerid otc,proton pump inhibitors,'treats frequent heartburn (occurs 2 or more days a week)'
zegerid otc,proton pump inhibitors, 'not intended for immediate relief of heartburn
zegerid otc,proton pump inhibitors, this drug may take 1 to 4 days for full effect.'
nexium 24hr,proton pump inhibitors,'treats frequent heartburn (occurs 2 or more days a week)'
nexium 24hr,proton pump inhibitors, 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect'
prevacid 24hr,proton pump inhibitors,'treats frequent heartburn (occurs 2 or more days a week)'
prevacid 24hr,proton pump inhibitors, 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect'
prilosec otc,proton pump inhibitors,'treats frequent heartburn (occurs 2 or more days a week)'
prilosec otc,proton pump inhibitors, 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect'
dulcoease,stool softeners,'for temporary relief of occasional constipation and irregularity'
dulcoease,stool softeners, 'this product generally produces bowel movement in 12 to 72 hours'
phillips' stool softener,stool softeners,'for relief of occasional constipation (irregularity)'
phillips' stool softener,stool softeners, 'this product generally produces a bowel movement in 12 to 72 hours'
zegerid otc,acid reducers,'treats frequent heartburn (occurs 2 or more days a week)'
zegerid otc,acid reducers, 'not intended for immediate relief of heartburn
zegerid otc,acid reducers, this drug may take 1 to 4 days for full effect.'
zantac,acid reducers,'relieves heartburn associated with acid indigestion and sour stomach'
zantac,acid reducers, 'prevents heartburn associated with acid indigestion and sour stomach brought on by certain foods and beverages'
nexium 24hr,acid reducers,'treats frequent heartburn (occurs 2 or more days a week)'
nexium 24hr,acid reducers, 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect'
prevacid 24hr,acid reducers,'treats frequent heartburn (occurs 2 or more days a week)'
prevacid 24hr,acid reducers, 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect'
prilosec otc,acid reducers,'treats frequent heartburn (occurs 2 or more days a week)'
prilosec otc,acid reducers, 'not intended for immediate relief of heartburn; this drug may take 1 to 4 days for full effect'
tylenol arthritis pain,oral arthritis pain relievers,pain reliever/fever reducer
scot-tussin,diabetic cough products,'temporarily quiets and calms a dry cough due to minor throat and bronchial irritation.'
robitussin,diabetic cough products,'temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold'
robitussin,diabetic cough products, 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes'
flexitol diabetic foot balm,diabetic foot cream,antifungal
kank-a,canker sore treatments,oral anesthetic/analgesic
gly-oxide oral rinse,canker sore treatments,'canker sore'
gly-oxide oral rinse,canker sore treatments, 'minor wounds or gum inflammation resulting from minor dental procedures
gly-oxide oral rinse,canker sore treatments, dentures
gly-oxide oral rinse,canker sore treatments, orthodontic appliances
gly-oxide oral rinse,canker sore treatments, accidental injury
gly-oxide oral rinse,canker sore treatments, or other irritations of the mouth and gums'
gly-oxide oral rinse,canker sore treatments, 'aids in the removal of phlegm
gly-oxide oral rinse,canker sore treatments, mucus
gly-oxide oral rinse,canker sore treatments, or other secretions associated with occasional sore mouth'
herpecin l,cold sore treatments,'helps prevent sunburn on lips'
herpecin l,cold sore treatments, 'relieves dry chapped lips'
herpecin l,cold sore treatments, 'helps treat and relieve cold sores/fever blisters'
anbesol cold sore therapy,cold sore treatments,'temporarily relieves pain associated with fever blisters and cold sores'
anbesol cold sore therapy,cold sore treatments, 'relieves dryness and softens fever blisters and cold sores'
zilactin,cold sore treatments,'cold sores/fever blisters\xc2\xa0'
zilactin,cold sore treatments, 'canker sores
zilactin,cold sore treatments, mouth sores\xc2\xa0'
zilactin,cold sore treatments, 'gum irritations'
abreva,cold sore treatments,cold sore/fever blister treatment
sensodyne,"toothpaste, general use",'builds increasing protection against painful sensitivity of the teeth to cold
sensodyne,"toothpaste, general use", heat 
sensodyne,"toothpaste, general use", acids
sensodyne,"toothpaste, general use", sweets
sensodyne,"toothpaste, general use", or contact'
sensodyne,"toothpaste, general use", 'aids in the prevention of dental cavities'
biotene,dry mouth therapy,anticavity
cepacol,cosmetic mouthwashes/oral rinses,antigingivitis/antiplaquet
orajel antiseptic rinse,therapeutic mouthwashes/oral rinses,'minor dental procedures'
orajel antiseptic rinse,therapeutic mouthwashes/oral rinses, 'accidental injury'
orajel antiseptic rinse,therapeutic mouthwashes/oral rinses, 'orthodontic appliances'
orajel antiseptic rinse,therapeutic mouthwashes/oral rinses, 'canker sores'
orajel antiseptic rinse,therapeutic mouthwashes/oral rinses, 'dentures'
orajel antiseptic rinse,therapeutic mouthwashes/oral rinses, 'other irritations of the mouth and gums'
dentek toothache kit,toothache products,oral pain reliever
orajel,toothache products,oral pain reliever
sensodyne,"toothpaste, sensitive gums/teeth",'builds increasing protection against painful sensitivity of the teeth to cold
sensodyne,"toothpaste, sensitive gums/teeth", heat 
sensodyne,"toothpaste, sensitive gums/teeth", acids
sensodyne,"toothpaste, sensitive gums/teeth", sweets
sensodyne,"toothpaste, sensitive gums/teeth", or contact'
sensodyne,"toothpaste, sensitive gums/teeth", 'aids in the prevention of dental cavities'
myoflex,topical analgesics,topical analgesic
zim's max-freeze,topical analgesics,topical analgesic
duofilm,wart removers,wart remover
curad mediplast,wart removers,'corns'
curad mediplast,wart removers, 'calluses'
curad mediplast,wart removers, 'common warts'
nizoral,dandruff shampoo,anti-dandruff shampoo
head & shoulders,dandruff shampoo,anti-drandruff
mederma stretch marks,stretch mark treatments,'temporarily protects and helps relieve chapped or cracked skin'
a+d ointment,incontinence-related skin protectants,'helps treat and prevent diaper rash'
a+d ointment,incontinence-related skin protectants, 'temporarily protects minor:
a+d ointment,incontinence-related skin protectants,cuts
a+d ointment,incontinence-related skin protectants,scrapes
a+d ointment,incontinence-related skin protectants,burns'
a+d ointment,incontinence-related skin protectants, 'cuts'
a+d ointment,incontinence-related skin protectants, 'scrapes'
a+d ointment,incontinence-related skin protectants, 'burns'
a+d ointment,incontinence-related skin protectants, 'temporarily protects and helps relieve chapped
a+d ointment,incontinence-related skin protectants, chafed or cracked skin and lips'
a+d ointment,incontinence-related skin protectants, 'protect chafed skin due to diaper rash and helps seal out wetness'
boudreaux's butt paste,incontinence-related skin protectants,'helps treat and prevent diaper rash\xc2\xa0'
boudreaux's butt paste,incontinence-related skin protectants, 'protects chafed skin due to diaper rash and helps seal out wetness'
vaseline petroleum jelly,incontinence-related skin protectants,skin protectant
micatin,jock itch/antifungal products,antifungal
lamisil,jock itch/antifungal products,antifungal
zeasorb,jock itch/antifungal products,antifungal
fungi-nail,fungal nail management,antifungal
tineacide,fungal nail management,antifungal
lamisil,athlete's foot/antifungal products,antifungal
micatin,athlete's foot/antifungal products,antifungal
zeasorb,athlete's foot/antifungal products,antifungal
mineral ice,"topical analgesics, arthritis/joint pain",topical analgesic
myoflex,"topical analgesics, arthritis/joint pain",topical analgesic
aveeno,topical poison ivy/oak remedies,'poison ivy
aveeno,topical poison ivy/oak remedies, oak or sumac'
aveeno,topical poison ivy/oak remedies, 'insect bites'
aveeno,topical poison ivy/oak remedies, 'rashes'
aveeno,topical poison ivy/oak remedies, 'eczema'
domeboro,topical poison ivy/oak remedies,'poison ivy'
domeboro,topical poison ivy/oak remedies, 'poison oak'
domeboro,topical poison ivy/oak remedies, 'poison sumac'
domeboro,topical poison ivy/oak remedies, 'insect bites'
domeboro,topical poison ivy/oak remedies," ""athlete's foot"""
domeboro,topical poison ivy/oak remedies, 'rashes caused by soaps
domeboro,topical poison ivy/oak remedies, detergents
domeboro,topical poison ivy/oak remedies, cosmetics
domeboro,topical poison ivy/oak remedies, or jewelry'
arnicare,homeopathic topical analgesics,pain reliever
biorelief,homeopathic topical analgesics,topical analgesic
allegra allergy,"antihistamines, oral",antihistamine
coricidin hbp cold & flu,flu products,'temporarily relieves
coricidin hbp cold & flu,flu products,minor aches and pains
coricidin hbp cold & flu,flu products,headache
coricidin hbp cold & flu,flu products,sneezing
coricidin hbp cold & flu,flu products,runny nose'
coricidin hbp cold & flu,flu products, 'minor aches and pains'
coricidin hbp cold & flu,flu products, 'headache'
coricidin hbp cold & flu,flu products, 'sneezing'
coricidin hbp cold & flu,flu products, 'runny nose'
coricidin hbp cold & flu,flu products, 'temporarily reduces fever'
vicks vaporub,"topical cough suppressants, ointments",'on chest and throat
vicks vaporub,"topical cough suppressants, ointments", temporarily relieves cough due to common cold'
vicks vaporub,"topical cough suppressants, ointments", 'on muscles and joints
vicks vaporub,"topical cough suppressants, ointments", temporarily relieves minor aches and pains'
robitussin,"cough/cold/flu combinations, liquid formulations",'temporarily relieves these symptoms occurring with a cold or flu:
robitussin,"cough/cold/flu combinations, liquid formulations",headache
robitussin,"cough/cold/flu combinations, liquid formulations",nasal congestion
robitussin,"cough/cold/flu combinations, liquid formulations",sore throat
robitussin,"cough/cold/flu combinations, liquid formulations",cough
robitussin,"cough/cold/flu combinations, liquid formulations",minor aches and pains'
robitussin,"cough/cold/flu combinations, liquid formulations", 'headache'
robitussin,"cough/cold/flu combinations, liquid formulations", 'nasal congestion'
robitussin,"cough/cold/flu combinations, liquid formulations", 'sore throat'
robitussin,"cough/cold/flu combinations, liquid formulations", 'cough'
robitussin,"cough/cold/flu combinations, liquid formulations", 'minor aches and pains'
robitussin,"cough/cold/flu combinations, liquid formulations", 'temporarily reduces fever'
theraflu,"cough/cold/flu combinations, liquid formulations",'minor aches and pains'
theraflu,"cough/cold/flu combinations, liquid formulations", 'headache'
theraflu,"cough/cold/flu combinations, liquid formulations", 'minor sore throat pain'
theraflu,"cough/cold/flu combinations, liquid formulations", 'nasal and sinus congestion'
theraflu,"cough/cold/flu combinations, liquid formulations", 'temporarily reduces fever'
theraflu,"cough/cold/flu combinations, liquid formulations", 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes and make\xc2\xa0cough more productive\xc2\xa0'
dayquil,"cough/cold/flu combinations, liquid formulations",'temporarily relieves common cold/flu symptoms:
dayquil,"cough/cold/flu combinations, liquid formulations",nasal congestion
dayquil,"cough/cold/flu combinations, liquid formulations",sinus congestion & pressure
dayquil,"cough/cold/flu combinations, liquid formulations",cough due to minor throat & bronchial irritation
dayquil,"cough/cold/flu combinations, liquid formulations",minor aches & pains
dayquil,"cough/cold/flu combinations, liquid formulations",headache
dayquil,"cough/cold/flu combinations, liquid formulations",fever
dayquil,"cough/cold/flu combinations, liquid formulations",sore throat
dayquil,"cough/cold/flu combinations, liquid formulations",reduces swelling of nasal passages
dayquil,"cough/cold/flu combinations, liquid formulations",temporarily restores freer breathing through the nose
dayquil,"cough/cold/flu combinations, liquid formulations",promotes nasal and/or sinus drainage
dayquil,"cough/cold/flu combinations, liquid formulations",helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.'
dayquil,"cough/cold/flu combinations, liquid formulations", 'nasal congestion'
dayquil,"cough/cold/flu combinations, liquid formulations", 'sinus congestion & pressure'
dayquil,"cough/cold/flu combinations, liquid formulations", 'cough due to minor throat & bronchial irritation'
dayquil,"cough/cold/flu combinations, liquid formulations", 'minor aches & pains'
dayquil,"cough/cold/flu combinations, liquid formulations", 'headache'
dayquil,"cough/cold/flu combinations, liquid formulations", 'fever'
dayquil,"cough/cold/flu combinations, liquid formulations", 'sore throat'
dayquil,"cough/cold/flu combinations, liquid formulations", 'reduces swelling of nasal passages'
dayquil,"cough/cold/flu combinations, liquid formulations", 'temporarily restores freer breathing through the nose'
dayquil,"cough/cold/flu combinations, liquid formulations", 'promotes nasal and/or sinus drainage'
dayquil,"cough/cold/flu combinations, liquid formulations", 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.'
fisherman's friend,"topical cough suppressants, lozenges",'cough due to minor throat and bronchial irritation occurring with the common cold or inhaled irritants'
fisherman's friend,"topical cough suppressants, lozenges", 'occasional minor sore throat'
ricola,"topical cough suppressants, lozenges",'cough due to a cold or inhaled irritants'
ricola,"topical cough suppressants, lozenges", 'occasional minor irritation and pain due to sore throat or sore mouth'
cold-eeze,cold remedies,'to reduce the duration of the common cold'
cold-eeze,cold remedies, 'reduces the severity of cold symptoms: cough
cold-eeze,cold remedies, sore throat
cold-eeze,cold remedies, stuffy nose
cold-eeze,cold remedies, sneezing
cold-eeze,cold remedies, post nasal drip and/or hoarseness'
cold-eeze,zinc cold remedies,'to reduce the duration of the common cold'
cold-eeze,zinc cold remedies, 'reduces the severity of cold symptoms: cough
cold-eeze,zinc cold remedies, sore throat
cold-eeze,zinc cold remedies, stuffy nose
cold-eeze,zinc cold remedies, sneezing
cold-eeze,zinc cold remedies, post nasal drip and/or hoarseness'
zicam,zinc lozenges,'reduces duration of the common cold'
zicam,zinc lozenges, 'reduces severity of cold symptoms:
zicam,zinc lozenges,sore throat
zicam,zinc lozenges,stuffy nose
zicam,zinc lozenges,sneezing
zicam,zinc lozenges,coughing
zicam,zinc lozenges,congestion'
zicam,zinc lozenges, 'sore throat'
zicam,zinc lozenges, 'stuffy nose'
zicam,zinc lozenges, 'sneezing'
zicam,zinc lozenges, 'coughing'
zicam,zinc lozenges, 'congestion'
cold-eeze,zinc lozenges,'to reduce the duration of the common cold'
cold-eeze,zinc lozenges, 'reduces the severity of cold symptoms: cough
cold-eeze,zinc lozenges, sore throat
cold-eeze,zinc lozenges, stuffy nose
cold-eeze,zinc lozenges, sneezing
cold-eeze,zinc lozenges, post nasal drip and/or hoarseness'
theraflu,"cough/cold/flu combinations, solid formulations",'temporarily relieves these symptoms due to a cold:
theraflu,"cough/cold/flu combinations, solid formulations",minor aches and pains\xc2\xa0
theraflu,"cough/cold/flu combinations, solid formulations",minor sore throat pain
theraflu,"cough/cold/flu combinations, solid formulations",headache
theraflu,"cough/cold/flu combinations, solid formulations",nasal and sinus congestion
theraflu,"cough/cold/flu combinations, solid formulations",runny nose
theraflu,"cough/cold/flu combinations, solid formulations",sneezing
theraflu,"cough/cold/flu combinations, solid formulations",itchy nose or throat
theraflu,"cough/cold/flu combinations, solid formulations",itchy
theraflu,"cough/cold/flu combinations, solid formulations", watery eyes due to hay fever
theraflu,"cough/cold/flu combinations, solid formulations",cough due to minor throat and bronchial irritation\xc2\xa0'
theraflu,"cough/cold/flu combinations, solid formulations", 'minor aches and pains\xc2\xa0'
theraflu,"cough/cold/flu combinations, solid formulations", 'minor sore throat pain'
theraflu,"cough/cold/flu combinations, solid formulations", 'headache'
theraflu,"cough/cold/flu combinations, solid formulations", 'nasal and sinus congestion'
theraflu,"cough/cold/flu combinations, solid formulations", 'runny nose'
theraflu,"cough/cold/flu combinations, solid formulations", 'sneezing'
theraflu,"cough/cold/flu combinations, solid formulations", 'itchy nose or throat'
theraflu,"cough/cold/flu combinations, solid formulations", 'itchy
theraflu,"cough/cold/flu combinations, solid formulations", watery eyes due to hay fever'
theraflu,"cough/cold/flu combinations, solid formulations", 'cough due to minor throat and bronchial irritation\xc2\xa0'
theraflu,"cough/cold/flu combinations, solid formulations", 'temporarily reduces fever'
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations",'temporarily relieves these symptoms due to the common cold or flu:
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations",nasal congestion
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations",headache
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations",minor aches and pains
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations",runny nose
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations",sneezing
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations",sore throat'
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations", 'nasal congestion'
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations", 'headache'
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations", 'minor aches and pains'
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations", 'runny nose'
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations", 'sneezing'
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations", 'sore throat'
contac cold + flu day/night,"cough/cold/flu combinations, solid formulations", 'temporarily reduces fever'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",'temporarily relieves common cold/flu symptoms:
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",nasal congestion
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",sinus congestion & pressure
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",cough due to minor throat & bronchial irritation
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",minor aches & pains
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",headache
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",fever
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",sore throat
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",reduces swelling of nasal passages
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",temporarily restores freer breathing through the nose
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",promotes nasal and/or sinus drainage
dayquil cold and flu,"cough/cold/flu combinations, solid formulations",helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'nasal congestion'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'sinus congestion & pressure'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'cough due to minor throat & bronchial irritation'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'minor aches & pains'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'headache'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'fever'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'sore throat'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'reduces swelling of nasal passages'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'temporarily restores freer breathing through the nose'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'promotes nasal and/or sinus drainage'
dayquil cold and flu,"cough/cold/flu combinations, solid formulations", 'helps loosen phlegm (mucus) and thin bronchial secretions to rid the bronchial passageways of bothersome mucus and make coughs more productive.'
zyrtec-d,"decongestants, oral",'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
zyrtec-d,"decongestants, oral",runny nose
zyrtec-d,"decongestants, oral",sneezing
zyrtec-d,"decongestants, oral",itchy
zyrtec-d,"decongestants, oral", watery eyes
zyrtec-d,"decongestants, oral",itching of the nose or throat
zyrtec-d,"decongestants, oral",nasal congestion'
zyrtec-d,"decongestants, oral", 'runny nose'
zyrtec-d,"decongestants, oral", 'sneezing'
zyrtec-d,"decongestants, oral", 'itchy
zyrtec-d,"decongestants, oral", watery eyes'
zyrtec-d,"decongestants, oral", 'itching of the nose or throat'
zyrtec-d,"decongestants, oral", 'nasal congestion'
zyrtec-d,"decongestants, oral", 'reduces swelling of nasal passages'
zyrtec-d,"decongestants, oral", 'temporarily relieves sinus congestion and pressure'
zyrtec-d,"decongestants, oral", 'temporarily restores freer breathing through the nose'
advil sinus & cold,"decongestants, oral",'headache'
advil sinus & cold,"decongestants, oral", 'fever'
advil sinus & cold,"decongestants, oral", 'sinus pressure'
advil sinus & cold,"decongestants, oral", 'nasal congestion'
advil sinus & cold,"decongestants, oral", 'minor body aches and pains'
nexafed,"decongestants, oral",'for the temporary relief of nasal congestion due to the common cold
nexafed,"decongestants, oral", hay fever or other upper respiratory allergies'
nexafed,"decongestants, oral", 'helps decongest sinus openings and passages; temporarily relieves sinus congestion and pressure'
zyrtec-d,sinus products,'temporarily relieves these symptoms due to hay fever or other upper respiratory allergies:
zyrtec-d,sinus products,runny nose
zyrtec-d,sinus products,sneezing
zyrtec-d,sinus products,itchy
zyrtec-d,sinus products, watery eyes
zyrtec-d,sinus products,itching of the nose or throat
zyrtec-d,sinus products,nasal congestion'
zyrtec-d,sinus products, 'runny nose'
zyrtec-d,sinus products, 'sneezing'
zyrtec-d,sinus products, 'itchy
zyrtec-d,sinus products, watery eyes'
zyrtec-d,sinus products, 'itching of the nose or throat'
zyrtec-d,sinus products, 'nasal congestion'
zyrtec-d,sinus products, 'reduces swelling of nasal passages'
zyrtec-d,sinus products, 'temporarily relieves sinus congestion and pressure'
zyrtec-d,sinus products, 'temporarily restores freer breathing through the nose'
aleve-d sinus & cold,sinus products,'sinus pressure'
aleve-d sinus & cold,sinus products, 'minor body aches and pains'
aleve-d sinus & cold,sinus products, 'headache'
