Name,Condition,Recommendations,Acrive Ingredients,Uses,
Imodium Anti-Diarrheal,Imodium,1015963.13,"In each caplet:
Loperamide HCl 2 mg; Anti-diarrheal",,
Metamucil,"Laxatives, Bulk/Fiber",452232.55,"In each teaspoon:
	Psyllium husk approximately 3.3 g",,
Benzodent,"Oral Pain Relievers, Adult",23704.02,Benzocaine 20%,,
Excedrin Migraine,Migraine Headache Products,773578.98,"In each caplet:
Acetaminophen 250 mg; Pain reliever
Aspirin 250 mg (NSAID) *; Pain reliever
Caffeine 65 mg; Pain reliever aid

* nonsteroidal anti-inflammatory drug",,
Advil Migraine,Migraine Headache Products,104537.7,"Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID)*; analgesic

	(present as the free acid and potassium salt)

	*nonsteroidal anti-inflammatory drug",,
Tylenol Arthritis Pain,Oral Arthritis Pain Relievers,352781.7,Acetaminophen 650 mg, pain reliever/fever reducer,"['temporarily relieves minor aches and pains due to:\r\n\t\t\n\r\n\t\t\t\tarthritis\n\r\n\t\t\t\tthe common cold\n\r\n\t\t\t\theadache\n\r\n\t\t\t\ttoothache\n\r\n\t\t\t\tmuscular aches\n\r\n\t\t\t\tbackache\n\r\n\t\t\t\tmenstrual cramps', 'arthritis', 'the common cold', 'headache', 'toothache', 'muscular aches', 'backache', 'menstrual cramps', 'temporarily reduces fever']"
Halls Defense,Immune Support,30309.28,"HALLS Defense® Vitamin C Supplement Drops:
Per drop:
Calories: 15
Sodium: 10 mg
Total Carbohydrate: 4 g
Sugars: 3 g
Vitamin C: 60 mg


	HALLS Defense® Harvest Cherry Supplement Drops:
	Per drop:
	Calories: 15
	Sodium: 10 mg
	Total Carbohydrate: 4 g
	Sugars: 3 g
	Vitamin C: 60 mg
	Zinc: 1.5 mg
	Standardized Echinacea Root Extract: 15 mg",,
Metamucil,Cholesterol Management,185752.6,"In each teaspoon:
	Psyllium husk approximately 3.3 g",,
alli,Diet Aids,157809.21,,,
Metamucil,Fiber Supplements,360739.68,"In each teaspoon:
	Psyllium husk approximately 3.3 g",,
Scot-Tussin,Diabetic Cough Products,53733.8,"In each 5ml:
Dextromethorphan HBr. USP 10mg; cough suppressant",['Temporarily quiets and calms a dry cough due to minor throat and bronchial irritation.'],
Robitussin,Diabetic Cough Products,389570.05,"In each 10ml
Dextromethorphan HBr, USP 20 mg; cough suppressant
Guaifenesin, USP 200 mg; expectorant","['temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold', 'helps loosen phlegm (mucus) and thin bronchial secretions to drain bronchial tubes']",
Flexitol Diabetic Foot Balm,Diabetic Foot Cream,10883.72,Tolnaftate 1%, Antifungal,"[""Clinically proven to prevent Athlete's Foot (Tinea Pedis) and Ringworm (Tinea Corporis) with daily use"", ""For effective relief of symptoms of Athlete's Foot, including itching, burning, cracking, scaling and discomfort associated with this condition.""]"
Kerasal,Diabetic Foot Cream,32651.16,"Capsaicin (0.075%); Topical Analgesic
Camphor (5.65%); Topical Analgesic",,
Neuragen,Diabetic Neuropathy Products,28901.68,"Aconitum napellus 12C, Hypericum perforatum 12C, Lycopodium clavatum 12C, Phosphorus 12C, Rhus toxicodendron 12C, Secale cornutum 12C",,
Kank-A,Canker Sore Treatments,60783.47,Benzocaine 20.0% (w/w), Oral anesthetic/analgesic,
Gly-Oxide Oral Rinse,Canker Sore Treatments,66309.24,"Carbamide peroxide 10% non USP*; Oral debriding agent, Oral wound cleanser

	(*pH differs from USP specifications)","['canker sore', 'minor wounds or gum inflammation resulting from minor dental procedures, dentures, orthodontic appliances, accidental injury, or other irritations of the mouth and gums', 'aids in the removal of phlegm, mucus, or other secretions associated with occasional sore mouth']",
Herpecin L,Cold Sore Treatments,30442.96,"Dimethicone 1%; Skin protectant
Meradimate 5%; Sunscreen
Octinoxate 7.5%; Sunscreen
Octisalate 5%; Sunscreen
Oxybenzone 6%; Sunscreen","['helps prevent sunburn on lips', 'relieves dry chapped lips', 'helps treat and relieve cold sores/fever blisters']",
Anbesol Cold Sore Therapy,Cold Sore Treatments,7610.74,"Allantoin 1%
Benzocaine 20%
Camphor 3%
White petrolatum 64.9%","['temporarily relieves pain associated with fever blisters and cold sores', 'relieves dryness and softens fever blisters and cold sores']",
Zilactin,Cold Sore Treatments,7610.74,"Benzyl alcohol 10%; Cold sore/fever blister treatment, Oral pain reliever","['cold sores/fever blisters\xc2\xa0', 'canker sores, mouth sores\xc2\xa0', 'gum irritations']",
Abreva,Cold Sore Treatments,616469.94,Docosanol 10%, Cold sore/fever blister treatment,"['treats cold sores/fever blisters on the face or lips', 'shortens healing time and duration of symptoms:\r\n\t\t\n\r\n\t\t\t\ttingling, pain, burning, and/or itching', 'tingling, pain, burning, and/or itching']"
Lip Clear Lysine +,Cold Sore Treatments,7610.74,"Zinc Oxide (1.2%); Cold sore/fever blister treatment

	 ",,
Sensodyne,"Toothpaste, General Use",148332.08,"Potassium nitrate 5%**; Antihypersensitivity
Sodium fluoride 0.15% w/v fluoride ion; Anticavity","['builds increasing protection against painful sensitivity of the teeth to cold, heat , acids, sweets, or contact', 'aids in the prevention of dental cavities']",
Biotene,Dry Mouth Therapy,434383.2,Sodium monofluorophosphate (0.14% w/v fluoride ion), Anticavity,
Cepacol,Cosmetic Mouthwashes/Oral Rinses,31135.14,Cetylpyridinium chloride 0.05%, Antigingivitis/Antiplaquet,"['gingivitis, an early form of gum disease']"
Listerine,Therapeutic Mouthwashes/Oral Rinses,216620.46,Sodium Monofluorophosphate 0.76% (0.13% w/v fluoride ion): Anticavity,,
Orajel Antiseptic Rinse,Therapeutic Mouthwashes/Oral Rinses,19113.57,Hydrogen peroxide 1.5%: Oral debriding agent,"['minor dental procedures', 'accidental injury', 'orthodontic appliances', 'canker sores', 'dentures', 'other irritations of the mouth and gums']",
DenTek Toothache Kit,Toothache Products,23732.88,Benzocaine 20%, Oral Pain Reliever,"['toothaches', 'canker sores', 'cold sores', 'sore gums']"
Orajel,Toothache Products,577500.08,Benzocaine 20%, Oral Pain Reliever,
Sensodyne,"Toothpaste, Sensitive Gums/Teeth",574287.87,"Potassium nitrate 5%**; Antihypersensitivity
Sodium fluoride 0.15% w/v fluoride ion; Anticavity","['builds increasing protection against painful sensitivity of the teeth to cold, heat , acids, sweets, or contact', 'aids in the prevention of dental cavities']",
Myoflex,Topical Analgesics,18846.94,Trolamine salicylate 10%, topical analgesic,
Zim's Max-Freeze,Topical Analgesics,18846.94,Natural Menthol 3.7%, Topical Analgesic,"['Sore Muscles & Muscle Sprains', 'Back, Shoulder, Neck Pain', 'Painful Ankle, Knee, Hip & Elbow Joints', 'Muscular Strains']"
DuoFilm,Wart Removers,56685.86,Salicylic acid 17% (w/w), wart remover,"['for removal of common and plantar warts', 'common warts can be easily recognized by the rough cauliflower-like appearance of the surface', 'plantar warts can be recognized by its location only on the bottom of the foot, its tenderness, and the interruption of the footprint pattern']"
Curad Mediplast,Wart Removers,28342.93,"40% Salicylic Acid; Corn, Callus, and Wart Remover","['corns', 'calluses', 'common warts']",
Nizoral,Dandruff Shampoo,154926.27,Ketoconazole 1%, Anti-dandruff shampoo,
Head & Shoulders,Dandruff Shampoo,177878.31,Pyrithione Zinc 1%, Anti-drandruff,
Mederma Stretch Marks,Stretch Mark Treatments,154132.48,Dimethicone 2%,['temporarily protects and helps relieve chapped or cracked skin'],
LiceMD,Lice Treatments,10824.32,"Piperonyl butoxide 4%; Lice treatment

	Pyrethrum extract (equivalent to pyrethrins 0.33%); Lice treatment

	 ",,
Rid,Lice Treatments,124479.68,"Piperonyl butoxide (4%); Lice treatment
					Pyrethrum extract (equivalent to 0.33% pyrethrins); Lice treatment",,
A+D Ointment,Incontinence-Related Skin Protectants,188054.16,"Lanolin 15.5%; Diaper rash ointment

		Petrolatum 53.4%; Skin Protectant","['helps treat and prevent diaper rash', 'temporarily protects minor:\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns', 'cuts', 'scrapes', 'burns', 'temporarily protects and helps relieve chapped, chafed or cracked skin and lips', 'protect chafed skin due to diaper rash and helps seal out wetness']",
Boudreaux's Butt Paste,Incontinence-Related Skin Protectants,62684.72,"Zinc Oxide, 16%; Skin Protectant","['Helps treat and prevent diaper rash\xc2\xa0', 'Protects chafed skin due to diaper rash and helps seal out wetness']",
Vaseline Petroleum Jelly,Incontinence-Related Skin Protectants,23506.77,White petrolateum 100%, skin protectant,"['\xc2\xa0temporarily protects minor\r\n\t\t\n\r\n\t\t\t\tcuts\n\r\n\t\t\t\tscrapes\n\r\n\t\t\t\tburns\xc2\xa0', 'cuts', 'scrapes', 'burns\xc2\xa0', 'temporarily protects and helps relieve chapped or cracked skin and lips\xc2\xa0', 'helps protect from the drying effects of wind and cold weather']"
Calmoseptine,Incontinence-Related Skin Protectants,180218.57,"Menthol 0.44%; External analgesic / Anti-itch
Zinc Oxide 20.6%; Skin protectant / Anorectal astringent",,
